"year","SSA","NSA","YAK","TBR","NBC","CBC","FS2","FS3","FS0","FSS","FHF","FCF","WVH","WVN","UGS","PPS","LGS","MGS","NKF","PSF","PSN","PSY","NKS","SKG","STL","SNO","WCH","WCN","WSH","CWS","SUM","URB","SPR","BON","CWF","LRW","LYF","MCB","NOC","MOC"
1979,9092,2105,20086,73477,31844,5413,10292,18055,24454,12816,111973,509,74573,8196,6459,1040,11179,12283,38089,27861,13376,6171,1782,17580,996,13921,15969,21838,34819,11739,15650,38341,18055,40943,40574,22686,500,3079,71401,20256
1980,14490,2278,12479,105307,34912,6053,9057,13564,14416,12566,107385,502,89017,10466,3502,946,12242,9302,44278,31512,11065,5987,1742,21376,828,14368,16337,24587,45351,14007,11468,37715,34775,41628,40174,26239,466,4218,61157,18951
1981,9614,2926,8986,95338,34157,6348,6238,11749,14684,13777,100029,469,76045,7155,4256,905,8588,5817,40867,30717,9814,6027,1351,19065,710,11121,14705,24850,53885,17998,7649,27297,19155,29278,33094,23558,351,4543,69112,15748
1982,9723,2552,8761,51828,31433,8298,4790,14762,10105,10526,111791,501,138077,10653,6251,1100,6003,5918,44196,28538,11020,6772,765,17954,668,9667,13527,23676,32200,15884,7340,44124,36228,41077,37861,13883,507,6047,64242,19770
1983,16392,2788,11106,34212,49615,7847,3546,21950,20454,15816,145348,750,95026,6815,6158,1144,7787,7699,42637,27689,9997,5804,435,13046,453,9754,12737,18972,26018,13693,8300,32054,10614,39676,51977,14301,485,8459,67093,21497
1984,19447,2645,9399,51045,45689,9102,7683,31657,12988,12968,112162,1321,118084,7814,9928,792,5715,8017,55654,29788,9589,5914,414,12988,608,9319,13322,23132,48265,13408,10318,57928,10043,27257,28272,7499,603,5700,128409,21025
1985,23223,3875,8492,64409,60070,15343,11208,41401,25570,17483,139639,911,122674,8167,8939,643,7070,15758,59129,30941,11612,7688,520,22554,1150,8516,15292,36986,39581,10685,13404,136401,7668,41942,49959,11688,487,6233,95848,25440
1986,25075,3796,12718,73210,68526,17046,12258,49338,28895,25747,165043,8040,74790,4838,13372,777,5019,13275,47656,33418,13139,8302,475,19433,1282,7207,23452,36624,37153,10924,16201,136868,3467,41590,79288,13734,144,10028,76535,13862
1987,23594,6935,13939,80895,98385,15435,6893,47521,24362,26243,84314,14658,110128,10238,16886,1027,7126,9854,31467,44185,16649,7962,509,11020,1200,6431,35785,48283,50744,18220,16729,126388,5596,61834,56485,22589,538,17707,129863,34615
1988,21729,6295,11402,79768,90818,14154,6136,41849,32504,26633,42313,14417,129576,11789,18512,1017,5902,6193,25748,50350,18885,8408,671,13143,883,6175,41458,52572,64584,19097,16029,161597,5418,16380,96253,16586,89,29901,153750,38470
1989,14139,5567,9733,87241,95802,14514,7468,34014,40698,19432,85692,4372,145972,7848,22914,1006,7256,12465,35033,57346,18903,14379,653,9851,790,6326,41376,60758,62040,8725,13596,65744,4922,25468,59858,36171,260,20324,59187,31235
1990,10416,8828,11366,87895,79452,13031,4321,36302,20951,23804,174188,4277,209707,7772,21016,1376,9631,11486,43111,48401,15173,15675,418,11142,963,4918,36047,42308,44094,6590,12977,72128,10779,12382,26856,20146,348,15929,82096,26559
1991,10007,7860,10949,100062,70077,19576,6270,30722,47188,22359,92158,15638,252064,10404,10320,1265,11458,13232,24340,34732,15597,13446,445,6292,1177,3799,34509,39510,74645,6109,8631,56083,22143,23688,15793,8749,151,18977,79099,37117
1992,7190,5603,9674,121231,80692,25588,7935,31946,42655,22867,124100,40556,235019,11362,7031,865,10860,9178,15960,29127,11771,8620,574,4113,861,3568,35049,34752,43113,13056,8997,47961,11292,32234,25000,8649,616,15333,92584,37115
1993,10316,7768,12861,115371,61452,25932,12648,35588,27857,18491,126200,17888,256526,13417,4588,497,4198,7623,16037,33218,9082,5529,519,3094,688,3828,38442,37669,30538,5953,9347,55946,8749,18979,28606,10597,599,21422,58522,32670
1994,9806,9678,15707,77483,87585,18328,13079,45417,35164,19868,109686,6770,151169,8860,5043,353,7841,8352,14359,45058,8446,6636,386,2598,766,3800,31619,28595,28083,5787,8197,90802,12172,18469,27143,9836,527,26505,104703,30282
1995,7587,7238,23218,85273,37966,13228,17713,43247,35912,25523,35301,41583,77444,8036,4069,291,17567,7856,13286,56586,10569,8227,491,3448,870,4009,31539,33230,23166,1876,9480,81169,11658,13440,26869,17335,334,24446,85265,54515
1996,8598,8015,21683,158024,86723,9503,23358,35390,78264,35409,48248,31172,110088,18487,5003,285,15314,9654,16045,56580,10564,8007,679,6930,1087,4439,34252,36474,17862,4125,11759,110690,13964,18378,59848,12958,542,27590,84281,65111
1997,7667,7089,15306,114920,72947,10636,16301,32091,53415,33298,51503,60065,146185,24181,5857,279,11096,9090,20481,52953,12663,8442,700,8469,1176,3681,26475,32362,30745,3369,9703,86040,12807,17642,29595,11987,664,40224,75331,25861
1998,7771,5155,10925,54718,66852,10540,3968,24678,63658,33033,197001,97855,141019,24948,7729,353,11517,9093,22061,62762,13045,9314,725,11271,1379,2998,19101,21928,33648,3623,10607,57468,9874,14029,17640,6302,753,39453,62815,36744
1999,14180,4794,11432,50879,76785,14327,11292,22210,92617,22122,132894,67310,59941,12681,12119,533,8140,15448,21559,68924,14378,7813,993,6715,1374,2793,16470,21779,26685,3174,14602,107210,14325,10553,20162,4370,694,28952,52324,32369
2000,14982,6985,11919,88568,68247,14624,11338,20644,44805,25359,65470,77634,29254,7515,8872,930,8829,12706,21700,65709,12712,7511,1615,13386,1442,3780,17553,23303,35423,5057,18197,69721,9298,12878,21215,7628,2478,32370,77187,21310
2001,17848,6305,9870,129263,93192,18466,13804,25757,137094,27789,105407,67774,94506,18736,14039,1586,7500,29210,32479,74202,12276,8061,2539,15064,1445,5894,23198,28660,76343,2843,41900,142492,55009,48172,52589,11522,1779,39649,95183,47308
2002,16154,8535,6937,105149,87593,15662,22796,37030,66318,32384,114008,73834,149804,25945,11583,1479,7146,23926,30376,79396,11912,7970,3331,13079,1404,6804,25957,26717,87018,13232,58204,152787,60142,52960,48318,15255,4418,81650,120557,49941
2003,12616,4821,6690,106442,57522,9657,18930,39242,118410,44179,164036,59594,182725,24339,8829,1240,6644,23554,18586,74012,11075,7640,3066,13410,1267,7247,34306,36403,88495,17978,58576,196488,84432,38161,101962,12532,3289,95661,120585,48987
2004,15973,8508,9267,149874,78975,12693,20004,29484,71027,32307,181795,60158,230787,18496,12488,1446,5700,28931,11018,81829,9109,8685,2258,19630,1292,8284,35898,41782,107471,16121,44535,161527,81832,19520,42814,30430,2627,73661,80890,90663
2005,13654,6753,6601,90230,39708,11989,5565,22749,86142,24801,122325,49497,118774,8531,12093,2204,4468,29100,11859,84161,7740,7820,1958,18621,1192,6735,34927,37918,46897,11914,37343,146795,31473,14940,57563,5643,3312,53813,102962,21903
2006,14732,6987,3377,57034,51236,15822,6752,17983,199976,21086,62895,50622,174652,15784,12240,1995,4136,36514,18217,99208,8533,8743,1720,17546,1069,5636,33580,32329,51056,17365,42589,117768,12192,4449,28267,16741,2069,44698,51122,20524
2007,13537,3032,3236,41576,71374,10207,4307,15128,118003,14880,86777,30441,81177,8645,8093,1394,4896,17337,19335,97652,7165,7062,1612,10671,974,4642,27489,23971,20388,4762,29207,68666,9476,8583,18262,5934,2048,37489,33443,14471
2008,12232,5793,3050,48859,48252,11281,7275,16989,89989,17671,49260,43195,85999,12400,8094,1168,5631,22719,17268,86702,6820,5960,1755,11844,1273,4793,28760,25262,26887,3727,33779,119422,22760,11470,36425,3901,2451,32891,22095,22783
2009,11954,4773,5721,49164,64935,12707,2144,17762,105446,20370,71639,22889,48559,8569,6978,1477,3866,18812,15068,73674,6047,4221,2037,9519,1101,3330,29950,25452,42312,4541,34937,118876,27657,8263,50367,6591,2942,39332,31664,35533
2010,11283,4660,9772,56188,66016,9733,8198,17737,160125,20911,106746,82940,109155,15344,9295,1567,3752,15155,19924,79696,5624,4308,2080,7008,901,2634,38359,27743,95153,7245,45693,162343,63429,18111,28381,10992,7334,42240,79430,74001
2011,10674,5413,7871,57454,48844,7251,3788,11601,82952,15104,129645,60486,118019,14431,7621,1177,7979,15818,20801,82783,4822,3511,1567,7244,1084,2315,38790,32966,71791,5937,48255,200857,28359,14241,95870,8523,8706,53302,54752,53446
2012,4715,2523,4967,51455,33663,11094,9631,12147,75376,12113,57496,22551,88410,12537,9426,873,7156,10250,20833,90837,5205,2836,1314,12894,1254,2703,38910,30435,56706,8237,46922,176261,34753,22345,42324,14313,14433,78805,49482,27216
2013,8683,3860,4999,48726,39613,17598,6260,17476,146464,12779,48173,63262,121375,17629,11892,869,5417,9746,19105,83414,5878,2660,1343,12759,921,2708,39238,29315,44337,7516,52007,472086,47005,17549,62756,10139,14641,108332,106356,42556
2014,8078,3986,4830,61331,47988,14501,20204,23297,103089,21465,64607,58417,110581,18845,7610,910,8915,22238,16404,68129,6015,3261,1325,10622,562,2444,37030,27982,48611,6527,59118,585400,48496,16863,66395,24842,17000,137204,110566,60821
2015,7628,3382,5149,58285,49200,16072,12471,23565,126661,25916,86133,39095,126646,24716,9394,616,10322,18806,12157,61572,6150,3504,1186,11256,477,2743,43641,27780,77487,18909,63316,331370,59507,17876,63507,27466,13600,108651,85909,63294
2016,4993,1949,1993,40437,32061,12076,10517,17213,71886,14037,52843,19171,140783,23869,5931,381,9181,9806,9383,60594,6190,4120,1267,13991,489,3608,35670,25367,47317,17881,55360,272511,36078,9444,52989,13543,11813,51223,99844,61229
2017,4829,2088,905324,55135,18529,8530,7107,16109,46913,11056,90355,15083,95768,13144,1894,375,9853,8944,10590,58537,6211,3606,1372,14988,324,3441,41691,33547,34001,14464,54914,175521,75868,15233,36851,14751,9315,41282,79735,37386
2018,5286,2520,1361785,60920,18760,8479,14197,20703,51858,11642,96788,14443,93336,11971,1229,350,9873,10786,12338,57057,6370,3736,1384,14940,225,3192,47599,34097,36774,13161,61392,103811,85605,17486,40504,18346,8603,22846,59200,31092
